Airline_IndiGo,Airline_Air India,Airline_Jet Airways,Airline_Multiple carriers,Airline_Vistara,Airline_Jet Airways Business,Airline_Multiple carriers Premium economy,Source_Banglore,Destination_Cochin,Destination_Kolkata,Departure_City_Population,Arrival_City_Population,dep_hour_cos,dep_minute_sin,dep_minute_cos,arr_minute_cos,dep_day_of_month_sin,arr_day_of_month_sin,dep_day_of_week_sin,dep_day_of_week_cos,arr_day_of_week_sin,arr_day_of_week_cos,distance_covered_km,departure_airport_class,arrival_airport_class,HYD,JLR,VGA,PNQ,COK,STV,RPR,IXB,NDC,BLR,total_duration_minutes
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12326532,30290936,0.962917287347799,0.847734427889671,-0.5304209081197424,0.4845508703326502,-0.9884683243281114,-0.9377521321470804,-2.4492935982947064e-16,1.0,0.0,1.0,1710.049042755083,2,2,0,0,0,0,0,0,0,0,0,0,170.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14850066,12326532,0.20345601305263375,-0.8183027759081689,0.574787410214407,-0.026620521437774693,0.20129852008866006,0.20129852008866006,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,1839.0487716769599,2,2,0,0,0,0,0,0,0,0,0,0,445.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30290936,3082055,-0.7757112907044197,0.46109250144932573,-0.8873520750565717,-0.8873520750565717,0.9510565162951536,0.8660254037844387,-2.4492935982947064e-16,1.0,0.0,1.0,2670.8704334432105,2,2,0,0,0,0,0,0,0,0,0,0,1140.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14850066,12326532,0.2034560130526333,0.5076658003388399,0.8615540813938061,-0.9985826956767619,0.6513724827222223,0.6513724827222223,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,1874.4486595251697,2,2,0,0,0,0,0,0,0,0,0,0,325.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12326532,30290936,-0.3348796121709864,-0.8183027759081689,0.574787410214407,-0.8333139190825152,0.20129852008866006,0.20129852008866006,-0.8660254037844385,-0.5000000000000004,-0.8660254037844385,-0.5000000000000004,1743.1642324002069,2,2,0,0,0,0,0,0,0,0,0,0,285.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14850066,12326532,-0.7757112907044197,0.0,1.0,-0.8873520750565717,-0.9510565162951536,-0.9510565162951536,0.0,1.0,0.0,1.0,1546.8399199076462,2,2,0,0,0,0,0,0,0,0,0,0,145.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12326532,30290936,0.2034560130526333,-0.4132121857683782,0.9106347728549131,-0.8873520750565717,0.6513724827222223,0.48530196253108104,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,1972.3927400137825,2,2,0,0,0,0,0,0,0,0,0,0,930.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12326532,30290936,-0.5766803221148671,0.0,1.0,0.8615540813938061,0.20129852008866006,0.39435585511331855,-0.8660254037844385,-0.5000000000000004,-0.8660254037844386,0.5000000000000001,1972.3927400137825,2,2,0,0,0,0,0,0,0,0,0,0,1265.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12326532,30290936,-0.5766803221148671,-0.4132121857683782,0.9106347728549131,-0.8873520750565717,0.6513724827222223,0.48530196253108104,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,1972.3927400137825,2,2,0,0,0,0,0,0,0,0,0,0,1530.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,30290936,3082055,-0.9906859460363306,0.46109250144932573,-0.8873520750565717,-0.026620521437774693,-0.72479278722912,-0.72479278722912,0.0,1.0,0.0,1.0,2202.0421972498116,2,2,0,0,0,0,0,0,0,0,0,0,470.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30290936,3082055,-0.7757112907044197,-0.9968120070307502,0.07978610555308265,1.0,0.20791169081775931,0.20791169081775931,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,2077.3096859298175,2,2,0,0,0,0,0,0,0,0,0,1,795.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14850066,12326532,0.6825531432186541,0.847734427889671,-0.5304209081197424,0.9106347728549131,-0.587785252292473,-0.587785252292473,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,1546.8399199076462,2,2,0,0,0,0,0,0,0,0,0,0,155.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10971108,14850066,-0.9906859460363306,-0.8993121301712191,-0.43730732045885556,0.9106347728549131,-0.9510565162951536,-0.9510565162951536,0.0,1.0,0.0,1.0,1385.7053171214745,2,2,0,0,0,0,0,0,0,0,0,0,135.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14850066,12326532,0.8544194045464886,0.8747630845319613,0.4845508703326502,-0.5304209081197424,0.9680771188662043,0.8978045395707416,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004,2499.65272931002,2,2,0,0,0,0,0,0,0,0,0,0,730.0
